set,n_cells,n_ILC2,n_ILC3,n_ILC1,n_other,pct_ILC2,pct_ILC3,pct_ILC1,pct_other
All_ILC,18121,14540,682,70,2829,80.2383974394349,3.7635892058937146,0.38629214723249267,15.611721207438883
PDL1pos_ILC,518,475,2,6,35,91.6988416988417,0.3861003861003861,1.1583011583011582,6.756756756756757
DP_ILC,62,61,0,0,1,98.38709677419355,0,0,1.6129032258064515
